Inputs		Function-Values
-3.94		-3.51986
-3.93		-3.49226
-3.92		-3.46445
-3.91		-3.43643
-3.9		-3.40822
-3.89		-3.37981
-3.88		-3.35121
-3.87		-3.32242
-3.86		-3.29345
-3.85		-3.26431
-3.84		-3.23498
-3.83		-3.20549
-3.82		-3.17583
-3.81		-3.14601
-3.8		-3.11603
-3.79		-3.08589
-3.78		-3.05561
-3.77		-3.02519
-3.76		-2.99462
-3.75		-2.96391
-3.74		-2.93308
-3.73		-2.90211
-3.72		-2.87103
-3.71		-2.83982
-3.7		-2.80849
-3.69		-2.77706
-3.68		-2.74552
-3.67		-2.71387
-3.66		-2.68213
-3.65		-2.65029
-3.64		-2.61836
-3.63		-2.58635
-3.62		-2.55425
-3.61		-2.52208
-3.6		-2.48983
-3.59		-2.45751
-3.58		-2.42513
-3.57		-2.39269
-3.56		-2.36019
-3.55		-2.32763
-3.54		-2.29503
-3.53		-2.26238
-3.52		-2.22969
-3.51		-2.19696
-3.5		-2.1642
-3.49		-2.13141
-3.48		-2.09859
-3.47		-2.06576
-3.46		-2.0329
-3.45		-2.00004
-3.44		-1.96716
-3.43		-1.93428
-3.42		-1.90139
-3.41		-1.86851
-3.4		-1.83564
-3.39		-1.80277
-3.38		-1.76992
-3.37		-1.73709
-3.36		-1.70427
-3.35		-1.67148
-3.34		-1.63872
-3.33		-1.606
-3.32		-1.5733
-3.31		-1.54065
-3.3		-1.50804
-3.29		-1.47548
-3.28		-1.44297
-3.27		-1.41051
-3.26		-1.3781
-3.25		-1.34576
-3.24		-1.31349
-3.23		-1.28128
-3.22		-1.24914
-3.21		-1.21708
-3.2		-1.18509
-3.19		-1.15319
-3.18		-1.12137
-3.17		-1.08964
-3.16		-1.05799
-3.15		-1.02645
-3.14		-0.994998
-3.13		-0.963649
-3.12		-0.932403
-3.11		-0.901264
-3.1		-0.870235
-3.09		-0.839319
-3.08		-0.808518
-3.07		-0.777837
-3.06		-0.747277
-3.05		-0.716841
-3.04		-0.686533
-3.03		-0.656356
-3.02		-0.626311
-3.01		-0.596402
-3		-0.566632
-2.99		-0.537004
-2.98		-0.507519
-2.97		-0.478181
-2.96		-0.448992
-2.95		-0.419955
-2.94		-0.391073
-2.93		-0.362347
-2.92		-0.33378
-2.91		-0.305376
-2.9		-0.277135
-2.89		-0.249061
-2.88		-0.221156
-2.87		-0.193421
-2.86		-0.16586
-2.85		-0.138475
-2.84		-0.111267
-2.83		-0.0842393
-2.82		-0.0573934
-2.81		-0.0307314
-2.8		-0.00425552
-2.79		0.0220324
-2.78		0.0481303
-2.77		0.0740363
-2.76		0.0997486
-2.75		0.125265
-2.74		0.150585
-2.73		0.175705
-2.72		0.200624
-2.71		0.225341
-2.7		0.249854
-2.69		0.27416
-2.68		0.29826
-2.67		0.32215
-2.66		0.34583
-2.65		0.369299
-2.64		0.392554
-2.63		0.415594
-2.62		0.438419
-2.61		0.461026
-2.6		0.483415
-2.59		0.505584
-2.58		0.527532
-2.57		0.549258
-2.56		0.570761
-2.55		0.59204
-2.54		0.613094
-2.53		0.633921
-2.52		0.654521
-2.51		0.674893
-2.5		0.695037
-2.49		0.71495
-2.48		0.734633
-2.47		0.754085
-2.46		0.773305
-2.45		0.792292
-2.44		0.811046
-2.43		0.829566
-2.42		0.847852
-2.41		0.865903
-2.4		0.883718
-2.39		0.901297
-2.38		0.918641
-2.37		0.935747
-2.36		0.952617
-2.35		0.969249
-2.34		0.985644
-2.33		1.0018
-2.32		1.01772
-2.31		1.0334
-2.3		1.04885
-2.29		1.06405
-2.28		1.07902
-2.27		1.09375
-2.26		1.10824
-2.25		1.12249
-2.24		1.13651
-2.23		1.15028
-2.22		1.16382
-2.21		1.17713
-2.2		1.19019
-2.19		1.20302
-2.18		1.21561
-2.17		1.22797
-2.16		1.24009
-2.15		1.25197
-2.14		1.26363
-2.13		1.27504
-2.12		1.28623
-2.11		1.29718
-2.1		1.30789
-2.09		1.31838
-2.08		1.32863
-2.07		1.33866
-2.06		1.34845
-2.05		1.35802
-2.04		1.36736
-2.03		1.37647
-2.02		1.38535
-2.01		1.39401
-2		1.40245
-1.99		1.41066
-1.98		1.41865
-1.97		1.42642
-1.96		1.43396
-1.95		1.44129
-1.94		1.4484
-1.93		1.45529
-1.92		1.46197
-1.91		1.46843
-1.9		1.47468
-1.89		1.48072
-1.88		1.48654
-1.87		1.49216
-1.86		1.49757
-1.85		1.50277
-1.84		1.50776
-1.83		1.51256
-1.82		1.51715
-1.81		1.52153
-1.8		1.52572
-1.79		1.52971
-1.78		1.53351
-1.77		1.53711
-1.76		1.54051
-1.75		1.54373
-1.74		1.54675
-1.73		1.54959
-1.72		1.55224
-1.71		1.5547
-1.7		1.55699
-1.69		1.55909
-1.68		1.56101
-1.67		1.56275
-1.66		1.56431
-1.65		1.56571
-1.64		1.56693
-1.63		1.56798
-1.62		1.56886
-1.61		1.56957
-1.6		1.57012
-1.59		1.5705
-1.58		1.57073
-1.57		1.5708
-1.56		1.57071
-1.55		1.57046
-1.54		1.57006
-1.53		1.56951
-1.52		1.56881
-1.51		1.56797
-1.5		1.56698
-1.49		1.56585
-1.48		1.56458
-1.47		1.56316
-1.46		1.56162
-1.45		1.55994
-1.44		1.55812
-1.43		1.55618
-1.42		1.55411
-1.41		1.55192
-1.4		1.5496
-1.39		1.54716
-1.38		1.5446
-1.37		1.54192
-1.36		1.53913
-1.35		1.53623
-1.34		1.53322
-1.33		1.5301
-1.32		1.52688
-1.31		1.52355
-1.3		1.52012
-1.29		1.5166
-1.28		1.51298
-1.27		1.50926
-1.26		1.50545
-1.25		1.50155
-1.24		1.49757
-1.23		1.4935
-1.22		1.48935
-1.21		1.48511
-1.2		1.4808
-1.19		1.47642
-1.18		1.47196
-1.17		1.46743
-1.16		1.46283
-1.15		1.45817
-1.14		1.45344
-1.13		1.44865
-1.12		1.44379
-1.11		1.43889
-1.1		1.43392
-1.09		1.42891
-1.08		1.42384
-1.07		1.41873
-1.06		1.41357
-1.05		1.40837
-1.04		1.40312
-1.03		1.39784
-1.02		1.39252
-1.01		1.38716
-1		1.38177
-0.99		1.37636
-0.98		1.37091
-0.97		1.36544
-0.96		1.35994
-0.95		1.35443
-0.94		1.34889
-0.93		1.34334
-0.92		1.33777
-0.91		1.33219
-0.9		1.3266
-0.89		1.32101
-0.88		1.3154
-0.87		1.30979
-0.86		1.30418
-0.85		1.29857
-0.84		1.29296
-0.83		1.28736
-0.82		1.28176
-0.81		1.27617
-0.8		1.27059
-0.79		1.26502
-0.78		1.25947
-0.77		1.25393
-0.76		1.24842
-0.75		1.24292
-0.74		1.23744
-0.73		1.23199
-0.72		1.22656
-0.71		1.22116
-0.7		1.21579
-0.69		1.21046
-0.68		1.20515
-0.67		1.19988
-0.66		1.19465
