x		Spherical-Bessel-Function
10.17			0.744853
10.18			0.743782
10.19			0.7427
10.2			0.741608
10.21			0.740505
10.22			0.739392
10.23			0.738268
10.24			0.737134
10.25			0.735989
10.26			0.734835
10.27			0.733671
10.28			0.732497
10.29			0.731313
10.3			0.73012
10.31			0.728917
10.32			0.727705
10.33			0.726484
10.34			0.725254
10.35			0.724015
10.36			0.722767
10.37			0.721511
10.38			0.720246
10.39			0.718973
10.4			0.717692
10.41			0.716402
10.42			0.715105
10.43			0.7138
10.44			0.712487
10.45			0.711166
10.46			0.709838
10.47			0.708503
10.48			0.707161
10.49			0.705812
10.5			0.704456
10.51			0.703093
10.52			0.701724
10.53			0.700348
10.54			0.698967
10.55			0.697578
10.56			0.696184
10.57			0.694785
10.58			0.693379
10.59			0.691968
10.6			0.690552
10.61			0.68913
10.62			0.687703
10.63			0.686271
10.64			0.684835
10.65			0.683393
10.66			0.681948
10.67			0.680497
10.68			0.679043
10.69			0.677585
10.7			0.676122
10.71			0.674656
10.72			0.673187
10.73			0.671713
10.74			0.670237
10.75			0.668757
10.76			0.667274
10.77			0.665789
10.78			0.664301
10.79			0.66281
10.8			0.661316
10.81			0.659821
10.82			0.658323
10.83			0.656824
10.84			0.655322
10.85			0.653819
10.86			0.652314
10.87			0.650808
10.88			0.649301
10.89			0.647793
10.9			0.646284
10.91			0.644774
10.92			0.643263
10.93			0.641752
10.94			0.640241
10.95			0.63873
10.96			0.637218
10.97			0.635707
10.98			0.634196
10.99			0.632686
11			0.631176
11.01			0.629667
11.02			0.628158
11.03			0.626651
11.04			0.625145
11.05			0.62364
11.06			0.622137
11.07			0.620636
11.08			0.619136
11.09			0.617638
11.1			0.616143
11.11			0.614649
11.12			0.613158
11.13			0.611669
11.14			0.610184
11.15			0.608701
11.16			0.60722
11.17			0.605743
11.18			0.60427
11.19			0.602799
11.2			0.601333
11.21			0.59987
11.22			0.59841
11.23			0.596955
11.24			0.595504
11.25			0.594057
11.26			0.592614
11.27			0.591176
11.28			0.589743
11.29			0.588314
11.3			0.586891
11.31			0.585472
11.32			0.584059
11.33			0.582651
11.34			0.581249
11.35			0.579852
11.36			0.578461
11.37			0.577076
11.38			0.575697
11.39			0.574324
11.4			0.572957
11.41			0.571597
11.42			0.570243
11.43			0.568896
11.44			0.567556
11.45			0.566223
11.46			0.564897
11.47			0.563578
11.48			0.562266
11.49			0.560962
11.5			0.559665
11.51			0.558376
11.52			0.557095
11.53			0.555822
11.54			0.554557
11.55			0.553299
11.56			0.552051
11.57			0.55081
11.58			0.549579
11.59			0.548355
11.6			0.547141
11.61			0.545935
11.62			0.544739
11.63			0.543551
11.64			0.542373
11.65			0.541204
11.66			0.540044
11.67			0.538894
11.68			0.537754
11.69			0.536623
11.7			0.535502
11.71			0.534391
11.72			0.53329
11.73			0.5322
11.74			0.531119
11.75			0.530049
11.76			0.528989
11.77			0.52794
11.78			0.526902
11.79			0.525874
11.8			0.524857
11.81			0.523851
11.82			0.522856
11.83			0.521872
11.84			0.520899
11.85			0.519937
11.86			0.518987
11.87			0.518048
11.88			0.517121
11.89			0.516206
11.9			0.515302
11.91			0.51441
11.92			0.513529
11.93			0.512661
11.94			0.511805
11.95			0.51096
11.96			0.510128
11.97			0.509308
11.98			0.508501
11.99			0.507705
12			0.506922
12.01			0.506152
12.02			0.505394
12.03			0.504649
12.04			0.503917
12.05			0.503197
12.06			0.50249
12.07			0.501796
12.08			0.501115
12.09			0.500447
12.1			0.499792
12.11			0.49915
12.12			0.498522
12.13			0.497906
12.14			0.497304
12.15			0.496715
12.16			0.496139
12.17			0.495577
12.18			0.495029
12.19			0.494493
12.2			0.493972
12.21			0.493463
12.22			0.492969
12.23			0.492488
12.24			0.492021
12.25			0.491567
12.26			0.491128
12.27			0.490702
12.28			0.49029
12.29			0.489892
12.3			0.489507
12.31			0.489137
12.32			0.48878
12.33			0.488438
12.34			0.488109
12.35			0.487794
12.36			0.487494
12.37			0.487207
12.38			0.486935
12.39			0.486676
12.4			0.486432
12.41			0.486202
12.42			0.485986
12.43			0.485784
12.44			0.485596
12.45			0.485422
12.46			0.485263
12.47			0.485117
12.48			0.484986
12.49			0.484869
12.5			0.484766
12.51			0.484677
12.52			0.484602
12.53			0.484541
12.54			0.484495
12.55			0.484463
12.56			0.484444
12.57			0.48444
12.58			0.48445
12.59			0.484474
12.6			0.484513
12.61			0.484565
12.62			0.484631
12.63			0.484711
12.64			0.484806
12.65			0.484914
12.66			0.485036
12.67			0.485172
12.68			0.485322
12.69			0.485486
12.7			0.485664
12.71			0.485856
12.72			0.486061
12.73			0.486281
12.74			0.486514
12.75			0.48676
12.76			0.487021
12.77			0.487295
12.78			0.487582
12.79			0.487883
12.8			0.488198
12.81			0.488526
12.82			0.488868
12.83			0.489223
12.84			0.489591
12.85			0.489972
12.86			0.490367
12.87			0.490775
12.88			0.491196
12.89			0.49163
12.9			0.492077
12.91			0.492538
12.92			0.493011
12.93			0.493497
12.94			0.493995
12.95			0.494507
12.96			0.495031
12.97			0.495568
12.98			0.496117
12.99			0.496679
13			0.497253
13.01			0.49784
13.02			0.498439
13.03			0.49905
13.04			0.499673
13.05			0.500309
13.06			0.500956
13.07			0.501616
13.08			0.502287
13.09			0.50297
13.1			0.503664
13.11			0.504371
13.12			0.505088
13.13			0.505818
13.14			0.506558
13.15			0.50731
13.16			0.508074
13.17			0.508848
13.18			0.509633
13.19			0.51043
13.2			0.511237
13.21			0.512055
13.22			0.512884
13.23			0.513723
13.24			0.514573
13.25			0.515433
13.26			0.516303
13.27			0.517184
13.28			0.518075
13.29			0.518976
13.3			0.519887
13.31			0.520807
13.32			0.521738
13.33			0.522678
13.34			0.523627
13.35			0.524586
13.36			0.525555
13.37			0.526532
13.38			0.527519
13.39			0.528515
13.4			0.529519
13.41			0.530533
13.42			0.531555
13.43			0.532586
13.44			0.533625
13.45			0.534672
13.46			0.535728
13.47			0.536792
13.48			0.537864
13.49			0.538944
13.5			0.540032
13.51			0.541127
13.52			0.54223
13.53			0.543341
13.54			0.544458
13.55			0.545583
13.56			0.546716
13.57			0.547855
13.58			0.549001
13.59			0.550153
13.6			0.551313
13.61			0.552479
13.62			0.553651
13.63			0.554829
13.64			0.556014
13.65			0.557205
13.66			0.558401
13.67			0.559603
13.68			0.560811
13.69			0.562025
13.7			0.563244
13.71			0.564468
13.72			0.565697
13.73			0.566932
13.74			0.568171
13.75			0.569415
13.76			0.570664
13.77			0.571917
13.78			0.573174
13.79			0.574436
13.8			0.575702
13.81			0.576972
13.82			0.578246
13.83			0.579523
13.84			0.580804
13.85			0.582089
13.86			0.583377
13.87			0.584668
13.88			0.585962
13.89			0.587259
13.9			0.588559
13.91			0.589862
13.92			0.591167
13.93			0.592474
13.94			0.593784
13.95			0.595096
13.96			0.59641
13.97			0.597726
13.98			0.599044
13.99			0.600363
14			0.601684
14.01			0.603006
14.02			0.604329
14.03			0.605654
14.04			0.606979
14.05			0.608305
14.06			0.609632
14.07			0.61096
14.08			0.612288
14.09			0.613616
14.1			0.614944
14.11			0.616272
14.12			0.617601
14.13			0.618929
14.14			0.620256
14.15			0.621583
14.16			0.62291
14.17			0.624236
14.18			0.62556
14.19			0.626884
14.2			0.628207
14.21			0.629528
14.22			0.630848
14.23			0.632166
14.24			0.633483
14.25			0.634797
14.26			0.63611
14.27			0.637421
14.28			0.63873
14.29			0.640036
14.3			0.641339
14.31			0.642641
14.32			0.643939
14.33			0.645234
14.34			0.646527
14.35			0.647816
14.36			0.649103
14.37			0.650385
14.38			0.651665
14.39			0.65294
14.4			0.654212
14.41			0.655481
14.42			0.656745
14.43			0.658005
14.44			0.65926
14.45			0.660512
14.46			0.661759
14.47			0.663001
14.48			0.664239
14.49			0.665471
14.5			0.666699
14.51			0.667922
14.52			0.669139
14.53			0.670352
14.54			0.671558
14.55			0.672759
14.56			0.673955
14.57			0.675145
14.58			0.676329
14.59			0.677506
14.6			0.678678
14.61			0.679843
14.62			0.681002
14.63			0.682155
14.64			0.683301
14.65			0.68444
14.66			0.685573
14.67			0.686699
14.68			0.687817
14.69			0.688929
14.7			0.690033
14.71			0.69113
14.72			0.692219
14.73			0.693301
14.74			0.694376
14.75			0.695442
14.76			0.696501
14.77			0.697552
14.78			0.698594
14.79			0.699629
14.8			0.700655
14.81			0.701673
14.82			0.702683
14.83			0.703684
14.84			0.704676
14.85			0.70566
14.86			0.706634
14.87			0.7076
14.88			0.708557
14.89			0.709505
14.9			0.710444
14.91			0.711373
14.92			0.712293
14.93			0.713204
14.94			0.714105
14.95			0.714996
14.96			0.715878
14.97			0.71675
14.98			0.717612
14.99			0.718464
15			0.719306
15.01			0.720138
15.02			0.72096
15.03			0.721772
15.04			0.722574
15.05			0.723365
15.06			0.724145
15.07			0.724915
15.08			0.725674
15.09			0.726423
15.1			0.727161
15.11			0.727888
15.12			0.728605
15.13			0.72931
15.14			0.730004
15.15			0.730688
15.16			0.73136
15.17			0.732021
15.18			0.732671
15.19			0.733309
15.2			0.733936
15.21			0.734552
15.22			0.735156
15.23			0.735749
15.24			0.73633
15.25			0.7369
15.26			0.737458
15.27			0.738004
15.28			0.738538
15.29			0.739061
15.3			0.739571
15.31			0.74007
15.32			0.740557
15.33			0.741032
15.34			0.741495
15.35			0.741946
15.36			0.742384
15.37			0.742811
15.38			0.743225
15.39			0.743628
15.4			0.744017
15.41			0.744395
15.42			0.744761
15.43			0.745114
15.44			0.745454
15.45			0.745783
15.46			0.746099
15.47			0.746402
