Time		Tempurature
17.8		0.732697
17.81		0.734347
17.82		0.736
17.83		0.737654
17.84		0.739311
17.85		0.740969
17.86		0.742629
17.87		0.744292
17.88		0.745956
17.89		0.747622
17.9		0.74929
17.91		0.75096
17.92		0.752632
17.93		0.754305
17.94		0.755981
17.95		0.757659
17.96		0.759338
17.97		0.76102
17.98		0.762703
17.99		0.764389
18		0.766076
18.01		0.767765
18.02		0.769457
18.03		0.77115
18.04		0.772845
18.05		0.774542
18.06		0.776241
18.07		0.777941
18.08		0.779644
18.09		0.781349
18.1		0.783055
18.11		0.784764
18.12		0.786474
18.13		0.788187
18.14		0.789901
18.15		0.791617
18.16		0.793335
18.17		0.795055
18.18		0.796777
18.19		0.798501
18.2		0.800227
18.21		0.801954
18.22		0.803684
18.23		0.805415
18.24		0.807149
18.25		0.808884
18.26		0.810621
18.27		0.81236
18.28		0.814101
18.29		0.815844
18.3		0.817589
18.31		0.819336
18.32		0.821085
18.33		0.822835
18.34		0.824588
18.35		0.826342
18.36		0.828098
18.37		0.829857
18.38		0.831617
18.39		0.833379
18.4		0.835142
18.41		0.836908
18.42		0.838676
18.43		0.840445
18.44		0.842217
18.45		0.84399
18.46		0.845765
18.47		0.847543
18.48		0.849322
18.49		0.851102
18.5		0.852885
18.51		0.85467
18.52		0.856457
18.53		0.858245
18.54		0.860035
18.55		0.861828
18.56		0.863622
18.57		0.865418
18.58		0.867216
18.59		0.869015
18.6		0.870817
18.61		0.872621
18.62		0.874426
18.63		0.876233
18.64		0.878043
18.65		0.879854
18.66		0.881667
18.67		0.883481
18.68		0.885298
18.69		0.887117
18.7		0.888937
18.71		0.890759
18.72		0.892583
18.73		0.894409
18.74		0.896237
18.75		0.898067
18.76		0.899899
18.77		0.901732
18.78		0.903568
18.79		0.905405
18.8		0.907244
18.81		0.909085
18.82		0.910928
18.83		0.912773
18.84		0.914619
18.85		0.916468
18.86		0.918318
18.87		0.92017
18.88		0.922024
18.89		0.92388
18.9		0.925738
18.91		0.927597
18.92		0.929459
18.93		0.931322
18.94		0.933187
18.95		0.935054
18.96		0.936923
18.97		0.938794
18.98		0.940666
18.99		0.94254
19		0.944417
19.01		0.946295
19.02		0.948175
19.03		0.950056
19.04		0.95194
19.05		0.953825
19.06		0.955713
19.07		0.957602
19.08		0.959493
19.09		0.961386
19.1		0.96328
19.11		0.965177
19.12		0.967075
19.13		0.968975
19.14		0.970877
19.15		0.972781
19.16		0.974687
19.17		0.976594
19.18		0.978503
19.19		0.980415
19.2		0.982328
19.21		0.984242
19.22		0.986159
19.23		0.988077
19.24		0.989998
19.25		0.99192
19.26		0.993844
19.27		0.995769
19.28		0.997697
19.29		0.999626
19.3		1.00156
19.31		1.00349
19.32		1.00543
19.33		1.00736
19.34		1.0093
19.35		1.01124
19.36		1.01318
19.37		1.01513
19.38		1.01707
19.39		1.01902
19.4		1.02097
19.41		1.02292
19.42		1.02487
19.43		1.02683
19.44		1.02878
19.45		1.03074
19.46		1.0327
19.47		1.03467
19.48		1.03663
19.49		1.03859
19.5		1.04056
19.51		1.04253
19.52		1.0445
19.53		1.04647
19.54		1.04845
19.55		1.05043
19.56		1.0524
19.57		1.05438
19.58		1.05637
19.59		1.05835
19.6		1.06033
19.61		1.06232
19.62		1.06431
19.63		1.0663
19.64		1.06829
19.65		1.07029
19.66		1.07228
19.67		1.07428
19.68		1.07628
19.69		1.07828
19.7		1.08029
19.71		1.08229
19.72		1.0843
19.73		1.08631
19.74		1.08832
19.75		1.09033
19.76		1.09234
19.77		1.09436
19.78		1.09638
19.79		1.09839
19.8		1.10042
19.81		1.10244
19.82		1.10446
19.83		1.10649
19.84		1.10852
19.85		1.11055
19.86		1.11258
19.87		1.11461
19.88		1.11665
19.89		1.11868
19.9		1.12072
19.91		1.12276
19.92		1.1248
19.93		1.12685
19.94		1.12889
19.95		1.13094
19.96		1.13299
19.97		1.13504
19.98		1.13709
19.99		1.13915
20		1.1412
20.01		1.14326
20.02		1.14532
20.03		1.14738
20.04		1.14945
20.05		1.15151
20.06		1.15358
20.07		1.15565
20.08		1.15772
20.09		1.15979
20.1		1.16186
20.11		1.16394
20.12		1.16601
20.13		1.16809
20.14		1.17017
20.15		1.17225
20.16		1.17434
20.17		1.17642
20.18		1.17851
20.19		1.1806
20.2		1.18269
20.21		1.18478
20.22		1.18688
20.23		1.18897
20.24		1.19107
20.25		1.19317
20.26		1.19527
20.27		1.19738
20.28		1.19948
20.29		1.20159
20.3		1.20369
20.31		1.2058
20.32		1.20792
20.33		1.21003
20.34		1.21214
20.35		1.21426
20.36		1.21638
20.37		1.2185
20.38		1.22062
20.39		1.22274
20.4		1.22487
20.41		1.227
20.42		1.22913
20.43		1.23126
20.44		1.23339
20.45		1.23552
20.46		1.23766
20.47		1.23979
20.48		1.24193
20.49		1.24407
20.5		1.24622
20.51		1.24836
20.52		1.25051
20.53		1.25265
20.54		1.2548
20.55		1.25695
20.56		1.2591
20.57		1.26126
20.58		1.26341
20.59		1.26557
20.6		1.26773
20.61		1.26989
20.62		1.27205
20.63		1.27422
20.64		1.27638
20.65		1.27855
20.66		1.28072
20.67		1.28289
20.68		1.28506
20.69		1.28724
20.7		1.28942
20.71		1.29159
20.72		1.29377
20.73		1.29595
20.74		1.29814
20.75		1.30032
20.76		1.30251
20.77		1.30469
20.78		1.30688
20.79		1.30907
20.8		1.31127
20.81		1.31346
20.82		1.31566
20.83		1.31785
20.84		1.32005
20.85		1.32225
20.86		1.32446
20.87		1.32666
20.88		1.32887
20.89		1.33107
20.9		1.33328
20.91		1.33549
20.92		1.33771
20.93		1.33992
20.94		1.34214
20.95		1.34435
20.96		1.34657
20.97		1.34879
20.98		1.35102
20.99		1.35324
21		1.35547
21.01		1.35769
21.02		1.35992
21.03		1.36215
21.04		1.36439
21.05		1.36662
21.06		1.36886
21.07		1.37109
21.08		1.37333
21.09		1.37557
21.1		1.37781
21.11		1.38006
21.12		1.3823
21.13		1.38455
21.14		1.3868
21.15		1.38905
21.16		1.3913
21.17		1.39355
21.18		1.39581
21.19		1.39806
21.2		1.40032
21.21		1.40258
21.22		1.40484
21.23		1.40711
21.24		1.40937
21.25		1.41164
21.26		1.41391
21.27		1.41618
21.28		1.41845
21.29		1.42072
21.3		1.42299
21.31		1.42527
21.32		1.42755
21.33		1.42983
21.34		1.43211
21.35		1.43439
21.36		1.43668
21.37		1.43896
21.38		1.44125
21.39		1.44354
21.4		1.44583
21.41		1.44812
21.42		1.45041
21.43		1.45271
21.44		1.455
21.45		1.4573
21.46		1.4596
21.47		1.4619
21.48		1.46421
21.49		1.46651
21.5		1.46882
21.51		1.47113
21.52		1.47344
21.53		1.47575
21.54		1.47806
21.55		1.48037
21.56		1.48269
21.57		1.48501
21.58		1.48733
21.59		1.48965
21.6		1.49197
21.61		1.49429
21.62		1.49662
21.63		1.49895
21.64		1.50127
21.65		1.5036
21.66		1.50594
21.67		1.50827
21.68		1.5106
21.69		1.51294
21.7		1.51528
21.71		1.51762
21.72		1.51996
21.73		1.5223
21.74		1.52464
21.75		1.52699
21.76		1.52934
21.77		1.53169
21.78		1.53404
21.79		1.53639
21.8		1.53874
21.81		1.5411
21.82		1.54345
21.83		1.54581
21.84		1.54817
21.85		1.55053
21.86		1.55289
21.87		1.55526
21.88		1.55762
21.89		1.55999
21.9		1.56236
21.91		1.56473
21.92		1.5671
21.93		1.56948
21.94		1.57185
21.95		1.57423
21.96		1.57661
21.97		1.57899
21.98		1.58137
21.99		1.58375
22		1.58613
22.01		1.58852
22.02		1.59091
22.03		1.5933
22.04		1.59569
22.05		1.59808
22.06		1.60047
22.07		1.60287
22.08		1.60526
22.09		1.60766
22.1		1.61006
22.11		1.61246
22.12		1.61486
22.13		1.61727
22.14		1.61967
22.15		1.62208
22.16		1.62449
22.17		1.6269
22.18		1.62931
22.19		1.63172
22.2		1.63414
22.21		1.63655
22.22		1.63897
22.23		1.64139
22.24		1.64381
22.25		1.64623
22.26		1.64865
22.27		1.65108
22.28		1.65351
22.29		1.65593
22.3		1.65836
22.31		1.66079
22.32		1.66323
22.33		1.66566
22.34		1.6681
22.35		1.67053
22.36		1.67297
22.37		1.67541
22.38		1.67785
22.39		1.6803
22.4		1.68274
