a	Error-Function
-2.654		0.992046
-2.653		0.992022
-2.652		0.991998
-2.651		0.991975
-2.65		0.991951
-2.649		0.991927
-2.648		0.991903
-2.647		0.991879
-2.646		0.991855
-2.645		0.991831
-2.644		0.991807
-2.643		0.991782
-2.642		0.991758
-2.641		0.991734
-2.64		0.991709
-2.639		0.991685
-2.638		0.99166
-2.637		0.991636
-2.636		0.991611
-2.635		0.991586
-2.634		0.991561
-2.633		0.991537
-2.632		0.991512
-2.631		0.991487
-2.63		0.991462
-2.629		0.991436
-2.628		0.991411
-2.627		0.991386
-2.626		0.991361
-2.625		0.991335
-2.624		0.99131
-2.623		0.991284
-2.622		0.991258
-2.621		0.991233
-2.62		0.991207
-2.619		0.991181
-2.618		0.991155
-2.617		0.991129
-2.616		0.991103
-2.615		0.991077
-2.614		0.991051
-2.613		0.991025
-2.612		0.990999
-2.611		0.990972
-2.61		0.990946
-2.609		0.990919
-2.608		0.990893
-2.607		0.990866
-2.606		0.990839
-2.605		0.990813
-2.604		0.990786
