Mass-Number			Cosine-of-Scattering-Angle
10.26			-3.04272e-005
10.27			-3.03082e-005
10.28			-3.01898e-005
10.29			-3.00719e-005
10.3			-2.99547e-005
10.31			-2.9838e-005
10.32			-2.97218e-005
10.33			-2.96062e-005
10.34			-2.94912e-005
10.35			-2.93768e-005
10.36			-2.92629e-005
10.37			-2.91495e-005
10.38			-2.90367e-005
10.39			-2.89245e-005
10.4			-2.88128e-005
10.41			-2.87016e-005
10.42			-2.8591e-005
10.43			-2.84809e-005
10.44			-2.83713e-005
10.45			-2.82623e-005
10.46			-2.81537e-005
10.47			-2.80457e-005
10.48			-2.79383e-005
10.49			-2.78313e-005
10.5			-2.77248e-005
10.51			-2.76189e-005
10.52			-2.75135e-005
10.53			-2.74085e-005
10.54			-2.73041e-005
10.55			-2.72002e-005
10.56			-2.70967e-005
10.57			-2.69938e-005
10.58			-2.68913e-005
10.59			-2.67893e-005
10.6			-2.66878e-005
10.61			-2.65868e-005
10.62			-2.64863e-005
10.63			-2.63862e-005
10.64			-2.62866e-005
10.65			-2.61875e-005
10.66			-2.60889e-005
10.67			-2.59907e-005
10.68			-2.5893e-005
10.69			-2.57957e-005
10.7			-2.56989e-005
10.71			-2.56026e-005
10.72			-2.55067e-005
10.73			-2.54112e-005
10.74			-2.53162e-005
10.75			-2.52216e-005
10.76			-2.51275e-005
10.77			-2.50338e-005
10.78			-2.49406e-005
10.79			-2.48478e-005
10.8			-2.47554e-005
10.81			-2.46635e-005
10.82			-2.45719e-005
10.83			-2.44808e-005
10.84			-2.43902e-005
10.85			-2.42999e-005
10.86			-2.42101e-005
10.87			-2.41207e-005
10.88			-2.40316e-005
10.89			-2.39431e-005
10.9			-2.38549e-005
10.91			-2.37671e-005
10.92			-2.36797e-005
10.93			-2.35927e-005
10.94			-2.35061e-005
10.95			-2.342e-005
10.96			-2.33342e-005
10.97			-2.32488e-005
10.98			-2.31638e-005
10.99			-2.30792e-005
11			-2.29949e-005
11.01			-2.29111e-005
11.02			-2.28276e-005
11.03			-2.27445e-005
11.04			-2.26618e-005
11.05			-2.25795e-005
11.06			-2.24976e-005
11.07			-2.2416e-005
11.08			-2.23348e-005
11.09			-2.22539e-005
11.1			-2.21734e-005
11.11			-2.20933e-005
11.12			-2.20136e-005
11.13			-2.19342e-005
11.14			-2.18551e-005
11.15			-2.17765e-005
11.16			-2.16981e-005
11.17			-2.16202e-005
11.18			-2.15425e-005
11.19			-2.14653e-005
11.2			-2.13883e-005
11.21			-2.13118e-005
11.22			-2.12355e-005
11.23			-2.11596e-005
11.24			-2.10841e-005
11.25			-2.10088e-005
11.26			-2.0934e-005
11.27			-2.08594e-005
11.28			-2.07852e-005
11.29			-2.07113e-005
11.3			-2.06377e-005
11.31			-2.05645e-005
11.32			-2.04916e-005
11.33			-2.0419e-005
11.34			-2.03467e-005
11.35			-2.02748e-005
11.36			-2.02031e-005
11.37			-2.01318e-005
11.38			-2.00608e-005
11.39			-1.99901e-005
11.4			-1.99198e-005
11.41			-1.98497e-005
11.42			-1.97799e-005
11.43			-1.97105e-005
11.44			-1.96414e-005
11.45			-1.95725e-005
11.46			-1.9504e-005
11.47			-1.94357e-005
11.48			-1.93678e-005
11.49			-1.93001e-005
11.5			-1.92328e-005
11.51			-1.91657e-005
11.52			-1.9099e-005
11.53			-1.90325e-005
11.54			-1.89663e-005
11.55			-1.89004e-005
11.56			-1.88348e-005
11.57			-1.87695e-005
11.58			-1.87044e-005
11.59			-1.86397e-005
11.6			-1.85752e-005
11.61			-1.8511e-005
11.62			-1.84471e-005
11.63			-1.83834e-005
11.64			-1.83201e-005
11.65			-1.8257e-005
11.66			-1.81941e-005
11.67			-1.81316e-005
11.68			-1.80693e-005
11.69			-1.80073e-005
11.7			-1.79455e-005
11.71			-1.7884e-005
11.72			-1.78228e-005
11.73			-1.77618e-005
11.74			-1.77011e-005
11.75			-1.76407e-005
11.76			-1.75805e-005
11.77			-1.75206e-005
11.78			-1.74609e-005
11.79			-1.74015e-005
11.8			-1.73423e-005
11.81			-1.72834e-005
11.82			-1.72247e-005
11.83			-1.71663e-005
11.84			-1.71081e-005
11.85			-1.70502e-005
11.86			-1.69925e-005
11.87			-1.69351e-005
11.88			-1.68779e-005
11.89			-1.68209e-005
11.9			-1.67642e-005
11.91			-1.67078e-005
11.92			-1.66515e-005
11.93			-1.65955e-005
11.94			-1.65398e-005
11.95			-1.64842e-005
11.96			-1.64289e-005
