x		Diffraction
4.06		0.533849
4.07		0.534037
4.08		0.534852
4.09		0.536293
4.1		0.538354
4.11		0.541025
4.12		0.544295
4.13		0.548147
4.14		0.552561
4.15		0.557513
4.16		0.562977
4.17		0.568921
4.18		0.575308
4.19		0.582099
4.2		0.589251
4.21		0.596714
4.22		0.604438
4.23		0.612367
4.24		0.620441
4.25		0.628598
4.26		0.636774
4.27		0.644902
4.28		0.652912
4.29		0.660736
4.3		0.668303
4.31		0.675545
4.32		0.682394
4.33		0.688783
4.34		0.694651
4.35		0.699939
4.36		0.704592
4.37		0.708563
4.38		0.711808
4.39		0.714294
4.4		0.715993
4.41		0.716884
4.42		0.716956
4.43		0.716208
4.44		0.714644
4.45		0.712281
4.46		0.70914
4.47		0.705255
4.48		0.700665
4.49		0.695416
4.5		0.689563
4.51		0.683165
4.52		0.676288
4.53		0.669001
4.54		0.661376
4.55		0.65349
4.56		0.645419
4.57		0.63724
4.58		0.629032
4.59		0.620871
4.6		0.612832
4.61		0.604987
4.62		0.597406
4.63		0.590153
4.64		0.583291
4.65		0.576877
4.66		0.570964
4.67		0.565598
4.68		0.560823
4.69		0.556677
4.7		0.55319
4.71		0.550392
4.72		0.548302
4.73		0.546939
4.74		0.546313
4.75		0.54643
4.76		0.547292
4.77		0.548893
4.78		0.551224
4.79		0.554267
4.8		0.558002
4.81		0.562401
4.82		0.56743
4.83		0.57305
4.84		0.579213
4.85		0.585867
4.86		0.592954
4.87		0.60041
4.88		0.608164
4.89		0.61614
4.9		0.624258
4.91		0.632434
4.92		0.64058
4.93		0.648607
4.94		0.656423
4.95		0.663937
4.96		0.67106
4.97		0.677704
4.98		0.683787
4.99		0.689231
5		0.693965
