x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
-1.62159		-2.09884			-1.4399			-1.339			-1.72617			-1.8262			-1.55836			-1.45954			
-1.61159		-2.07984			-1.41816			-1.33693			-1.72863			-1.80941			-1.53527			-1.45512			
-1.60159		-2.06061			-1.39678			-1.33534			-1.73061			-1.79185			-1.51275			-1.45178			
-1.59159		-2.04115			-1.37578			-1.33423			-1.73207			-1.77356			-1.49087			-1.44946			
-1.58159		-2.02147			-1.35516			-1.33357			-1.73299			-1.75457			-1.46967			-1.4481			
-1.57159		-2.00159			-1.33493			-1.33333			-1.73333			-1.73492			-1.44921			-1.44762			
-1.56159		-1.98151			-1.3151			-1.3335			-1.73308			-1.71468			-1.42956			-1.44795			
-1.55159		-1.96123			-1.29567			-1.33404			-1.7322			-1.69388			-1.41074			-1.449			
-1.54159		-1.94077			-1.27666			-1.33494			-1.73068			-1.67257			-1.39281			-1.45068			
-1.53159		-1.92014			-1.25808			-1.33616			-1.7285			-1.65082			-1.37579			-1.45292			
-1.52159		-1.89933			-1.23991			-1.33769			-1.72564			-1.62866			-1.35972			-1.45561			
-1.51159		-1.87837			-1.22219			-1.33949			-1.72209			-1.60616			-1.34463			-1.45866			
-1.50159		-1.85725			-1.2049			-1.34154			-1.71783			-1.58337			-1.33053			-1.46197			
-1.49159		-1.83598			-1.18805			-1.34382			-1.71286			-1.56035			-1.31743			-1.46545			
-1.48159		-1.81459			-1.17165			-1.34629			-1.70716			-1.53715			-1.30535			-1.469			
-1.47159		-1.79306			-1.1557			-1.34894			-1.70073			-1.51384			-1.29429			-1.47251			
-1.46159		-1.77141			-1.1402			-1.35173			-1.69357			-1.49046			-1.28423			-1.4759			
-1.45159		-1.74965			-1.12516			-1.35464			-1.68567			-1.46707			-1.27519			-1.47907			
-1.44159		-1.72779			-1.11058			-1.35764			-1.67703			-1.44374			-1.26713			-1.48192			
-1.43159		-1.70583			-1.09646			-1.3607			-1.66766			-1.42051			-1.26004			-1.48437			
-1.42159		-1.68378			-1.08279			-1.3638			-1.65756			-1.39744			-1.2539			-1.48633			
-1.41159		-1.66165			-1.06959			-1.36691			-1.64673			-1.37458			-1.24867			-1.48771			
-1.40159		-1.63945			-1.05685			-1.37			-1.63519			-1.35199			-1.24433			-1.48846			
-1.39159		-1.61719			-1.04457			-1.37306			-1.62295			-1.32972			-1.24083			-1.48848			
-1.38159		-1.59487			-1.03274			-1.37605			-1.61001			-1.3078			-1.23812			-1.48771			
-1.37159		-1.5725			-1.02138			-1.37894			-1.5964			-1.2863			-1.23617			-1.48611			
-1.36159		-1.55009			-1.01047			-1.38172			-1.58213			-1.26526			-1.23492			-1.4836			
-1.35159		-1.52764			-1.00001			-1.38436			-1.56722			-1.24471			-1.23432			-1.48015			
-1.34159		-1.50517			-0.989998			-1.38683			-1.55168			-1.2247			-1.23431			-1.47572			
-1.33159		-1.48269			-0.980435			-1.38912			-1.53554			-1.20527			-1.23482			-1.47027			
-1.32159		-1.46019			-0.971314			-1.39119			-1.51883			-1.18644			-1.2358			-1.46379			
-1.31159		-1.43769			-0.96263			-1.39302			-1.50156			-1.16826			-1.23719			-1.45624			
-1.30159		-1.4152			-0.954379			-1.3946			-1.48376			-1.15076			-1.2389			-1.44763			
-1.29159		-1.39271			-0.946554			-1.39591			-1.46546			-1.13395			-1.24089			-1.43795			
-1.28159		-1.37025			-0.939151			-1.39691			-1.4467			-1.11786			-1.24307			-1.42721			
-1.27159		-1.34782			-0.932163			-1.3976			-1.42749			-1.10251			-1.24538			-1.41541			
-1.26159		-1.32541			-0.925583			-1.39795			-1.40787			-1.08792			-1.24775			-1.40259			
-1.25159		-1.30305			-0.919404			-1.39795			-1.38786			-1.07411			-1.2501			-1.38877			
-1.24159		-1.28074			-0.913619			-1.39758			-1.36752			-1.06108			-1.25238			-1.37398			
-1.23159		-1.25849			-0.908219			-1.39682			-1.34686			-1.04883			-1.25451			-1.35827			
-1.22159		-1.23629			-0.903198			-1.39565			-1.32592			-1.03738			-1.25643			-1.34167			
-1.21159		-1.21417			-0.898545			-1.39406			-1.30473			-1.02673			-1.25807			-1.32426			
