x		n=2			n=3			n=4			n=5			n=6
-6.43478		-0.0753266			-0.130108			-0.147654			-0.153216			-0.15377
-6.42478		-0.0723069			-0.128564			-0.14743			-0.154163			-0.155721
-6.41478		-0.0691521			-0.126795			-0.146913			-0.154774			-0.15732
-6.40478		-0.065862			-0.124798			-0.146097			-0.155034			-0.158544
-6.39478		-0.0624365			-0.122571			-0.144974			-0.154931			-0.159369
-6.38478		-0.0588754			-0.120113			-0.143539			-0.154451			-0.159773
-6.37478		-0.0551786			-0.117421			-0.141785			-0.153584			-0.159736
-6.36478		-0.0513461			-0.114494			-0.139709			-0.152319			-0.15924
-6.35478		-0.047378			-0.11133			-0.137305			-0.150645			-0.158267
-6.34478		-0.0432744			-0.107928			-0.134571			-0.148555			-0.1568
-6.33478		-0.0390354			-0.104287			-0.131501			-0.146041			-0.154827
-6.32478		-0.0346611			-0.100407			-0.128094			-0.143096			-0.152336
-6.31478		-0.030152			-0.096287			-0.124347			-0.139715			-0.149317
-6.30478		-0.0255082			-0.0919263			-0.120258			-0.135895			-0.145762
-6.29478		-0.0207301			-0.0873251			-0.115827			-0.131632			-0.141665
-6.28478		-0.0158181			-0.0824834			-0.111054			-0.126925			-0.137025
-6.27478		-0.0107727			-0.0774017			-0.105937			-0.121774			-0.131839
-6.26478		-0.00559443			-0.0720805			-0.100478			-0.116179			-0.126109
-6.25478		-0.000283844			-0.0665206			-0.094678			-0.110143			-0.119839
-6.24478		0.00515844			-0.060723			-0.0885392			-0.103669			-0.113034
-6.23478		0.0107317			-0.0546891			-0.0820639			-0.0967614			-0.105702
-6.22478		0.0164353			-0.0484202			-0.0752551			-0.0894266			-0.0978531
-6.21478		0.0222684			-0.041918			-0.0681164			-0.0816712			-0.0894996
-6.20478		0.0282302			-0.0351845			-0.0606522			-0.0735036			-0.0806555
-6.19478		0.0343197			-0.0282218			-0.052867			-0.0649328			-0.0713369
-6.18478		0.040536			-0.0210322			-0.0447663			-0.0559693			-0.0615616
-6.17478		0.0468782			-0.0136182			-0.0363558			-0.0466243			-0.0513489
-6.16478		0.0533452			-0.00598267			-0.0276419			-0.0369103			-0.04072
-6.15478		0.059936			0.00187148			-0.0186314			-0.0268404			-0.0296971
-6.14478		0.0666492			0.00994108			-0.00933172			-0.0164288			-0.0183039
-6.13478		0.0734838			0.0182228			0.000249415			-0.00569032			-0.00656521
-6.12478		0.0804385			0.0267129			0.0101037			0.00535933			0.00549344
-6.11478		0.0875121			0.0354079			0.0202226			0.0167039			0.0178456
-6.10478		0.094703			0.0443036			0.0305969			0.0283264			0.0304644
-6.09478		0.10201			0.0533961			0.0412173			0.0402094			0.0433223
