Position			b=0.3		b=4.0
8.03		-0.28584			1.05982e-007
8.04		-0.283552			1.03883e-007
8.05		-0.281157			1.01826e-007
8.06		-0.278657			9.98097e-008
8.07		-0.276054			9.78334e-008
8.08		-0.273347			9.58962e-008
8.09		-0.27054			9.39973e-008
8.1		-0.267633			9.2136e-008
8.11		-0.264628			9.03116e-008
8.12		-0.261526			8.85233e-008
8.13		-0.25833			8.67704e-008
8.14		-0.255039			8.50523e-008
8.15		-0.251657			8.33681e-008
8.16		-0.248184			8.17173e-008
8.17		-0.244622			8.00992e-008
8.18		-0.240973			7.85131e-008
8.19		-0.23724			7.69585e-008
8.2		-0.233422			7.54346e-008
8.21		-0.229523			7.39409e-008
8.22		-0.225543			7.24768e-008
8.23		-0.221486			7.10416e-008
8.24		-0.217352			6.96349e-008
8.25		-0.213144			6.8256e-008
8.26		-0.208863			6.69045e-008
8.27		-0.204512			6.55797e-008
8.28		-0.200092			6.42811e-008
8.29		-0.195606			6.30083e-008
8.3		-0.191054			6.17606e-008
8.31		-0.18644			6.05377e-008
8.32		-0.181766			5.93389e-008
8.33		-0.177033			5.8164e-008
8.34		-0.172243			5.70122e-008
8.35		-0.167399			5.58833e-008
8.36		-0.162502			5.47768e-008
8.37		-0.157555			5.36921e-008
8.38		-0.152561			5.26289e-008
8.39		-0.14752			5.15868e-008
8.4		-0.142435			5.05653e-008
8.41		-0.137309			4.95641e-008
8.42		-0.132143			4.85826e-008
8.43		-0.12694			4.76206e-008
8.44		-0.121702			4.66777e-008
8.45		-0.116431			4.57534e-008
8.46		-0.111129			4.48474e-008
8.47		-0.105799			4.39594e-008
8.48		-0.100442			4.30889e-008
8.49		-0.0950613			4.22357e-008
