beta		beta		tan(beta)
-23.8259		-23.8259		3.69974
-23.8159		-23.8159		3.85227
-23.8059		-23.8059		4.01702
-23.7959		-23.7959		4.19556
-23.7859		-23.7859		4.38974
-23.7759		-23.7759		4.60175
-23.7659		-23.7659		4.83422
-23.7559		-23.7559		5.0903
-23.7459		-23.7459		5.37386
-23.7359		-23.7359		5.68962
-23.7259		-23.7259		6.04349
-23.7159		-23.7159		6.44287
-23.7059		-23.7059		6.89727
-23.6959		-23.6959		7.419
-23.6859		-23.6859		8.02434
-23.6759		-23.6759		8.73532
-23.6659		-23.6659		9.5824
-23.6559		-23.6559		10.609
-23.6459		-23.6459		11.8794
-23.6359		-23.6359		13.4922
-23.6259		-23.6259		15.6082
-23.6159		-23.6159		18.5068
-23.6059		-23.6059		22.7221
-23.5959		-23.5959		29.4163
-23.5859		-23.5859		41.6906
-23.5759		-23.5759		71.5177
-23.5659		-23.5659		251.152
-23.5559		-23.5559		-166.156
-23.5459		-23.5459		-62.423
-23.5359		-23.5359		-38.4257
-23.5259		-23.5259		-27.7516
-23.5159		-23.5159		-21.7151
-23.5059		-23.5059		-17.8326
-23.4959		-23.4959		-15.1253
-23.4859		-23.4859		-13.1294
-23.4759		-23.4759		-11.5967
-23.4659		-23.4659		-10.3826
-23.4559		-23.4559		-9.39696
-23.4459		-23.4459		-8.58062
-23.4359		-23.4359		-7.8933
