Time		Angular_Position		Angular_Velocity
7.24		-0.207243		-0.771204
7.25		-0.214752		-0.750894
7.26		-0.222051		-0.729848
7.27		-0.229132		-0.708087
7.28		-0.235988		-0.685632
7.29		-0.242613		-0.662505
7.3		-0.249		-0.638729
7.31		-0.255144		-0.614327
7.32		-0.261037		-0.589323
7.33		-0.266674		-0.563741
7.34		-0.27205		-0.537607
7.35		-0.27716		-0.510946
7.36		-0.281998		-0.483785
7.37		-0.286559		-0.456149
7.38		-0.29084		-0.428066
7.39		-0.294835		-0.399564
7.4		-0.298542		-0.37067
7.41		-0.301956		-0.341413
7.42		-0.305074		-0.311821
7.43		-0.307894		-0.281924
7.44		-0.310411		-0.25175
7.45		-0.312624		-0.22133
7.46		-0.314531		-0.190693
7.47		-0.31613		-0.159869
7.48		-0.317419		-0.128888
7.49		-0.318397		-0.097781
7.5		-0.319063		-0.0665781
7.51		-0.319416		-0.03531
7.52		-0.319456		-0.00400722
7.53		-0.319183		0.0272994
7.54		-0.318597		0.0585794
7.55		-0.317699		0.0898019
7.56		-0.31649		0.120936
7.57		-0.31497		0.151952
7.58		-0.313142		0.182819
7.59		-0.311007		0.213507
7.6		-0.308567		0.243986
7.61		-0.305825		0.274226
7.62		-0.302783		0.304196
7.63		-0.299444		0.333869
7.64		-0.295812		0.363215
7.65		-0.29189		0.392204
7.66		-0.287682		0.420809
7.67		-0.283192		0.449002
7.68		-0.278424		0.476755
7.69		-0.273384		0.504041
7.7		-0.268075		0.530832
7.71		-0.262504		0.557104
7.72		-0.256676		0.582829
7.73		-0.250596		0.607983
7.74		-0.244271		0.632542
7.75		-0.237706		0.65648
7.76		-0.230908		0.679775
7.77		-0.223884		0.702404
7.78		-0.216641		0.724345
7.79		-0.209185		0.745576
7.8		-0.201524		0.766076
7.81		-0.193666		0.785825
7.82		-0.185618		0.804805
7.83		-0.177388		0.822995
7.84		-0.168984		0.840379
7.85		-0.160415		0.85694
7.86		-0.151688		0.87266
7.87		-0.142813		0.887526
7.88		-0.133798		0.901521
7.89		-0.124651		0.914634
7.9		-0.115383		0.92685
7.91		-0.106001		0.938157
7.92		-0.0965159		0.948545
7.93		-0.0869359		0.958004
7.94		-0.0772707		0.966523
7.95		-0.0675297		0.974096
7.96		-0.0577226		0.980714
7.97		-0.0478589		0.986371
7.98		-0.0379483		0.991061
7.99		-0.0280005		0.99478
8		-0.0180252		0.997524
8.01		-0.00803231		0.99929
8.02		0.00196846		1.00008
8.03		0.0119673		0.999885
8.04		0.0219544		0.998712
8.05		0.03192		0.99656
8.06		0.0418544		0.993432
8.07		0.0517477		0.98933
8.08		0.0615902		0.984259
8.09		0.0713725		0.978223
8.1		0.0810848		0.971229
8.11		0.0907176		0.963282
8.12		0.100262		0.954392
8.13		0.109707		0.944566
8.14		0.119045		0.933815
8.15		0.128267		0.922149
8.16		0.137363		0.909579
8.17		0.146324		0.896117
8.18		0.155142		0.881777
8.19		0.163807		0.866573
8.2		0.172312		0.85052
8.21		0.180649		0.833634
8.22		0.188808		0.81593
8.23		0.196782		0.797427
8.24		0.204564		0.778142
8.25		0.212145		0.758095
8.26		0.219518		0.737305
8.27		0.226676		0.715792
8.28		0.233612		0.693578
8.29		0.240318		0.670684
8.3		0.24679		0.647133
8.31		0.253019		0.622947
8.32		0.259001		0.598151
8.33		0.264728		0.572769
8.34		0.270197		0.546826
8.35		0.2754		0.520347
8.36		0.280334		0.493358
8.37		0.284993		0.465885
8.38		0.289372		0.437956
8.39		0.293468		0.409597
8.4		0.297276		0.380837
8.41		0.300793		0.351704
8.42		0.304016		0.322226
8.43		0.30694		0.292433
8.44		0.309564		0.262353
8.45		0.311884		0.232016
8.46		0.313898		0.201451
8.47		0.315605		0.170689
8.48		0.317003		0.13976
8.49		0.31809		0.108693
8.5		0.318865		0.0775205
8.51		0.319328		0.0462718
8.52		0.319477		0.0149777
8.53		0.319314		-0.0163311
8.54		0.318838		-0.0476239
8.55		0.318049		-0.07887
8.56		0.316949		-0.110039
8.57		0.315538		-0.1411
8.58		0.313817		-0.172022
8.59		0.31179		-0.202777
8.6		0.309456		-0.233332
8.61		0.30682		-0.263659
8.62		0.303883		-0.293727
8.63		0.300647		-0.323508
8.64		0.297118		-0.352971
8.65		0.293297		-0.382089
8.66		0.289189		-0.410832
8.67		0.284797		-0.439172
8.68		0.280126		-0.467082
8.69		0.275181		-0.494535
8.7		0.269966		-0.521502
8.71		0.264486		-0.547959
8.72		0.258747		-0.573879
8.73		0.252755		-0.599236
8.74		0.246515		-0.624006
8.75		0.240033		-0.648164
8.76		0.233316		-0.671687
8.77		0.226371		-0.694552
8.78		0.219203		-0.716737
8.79		0.211821		-0.738219
8.8		0.204231		-0.758977
8.81		0.196442		-0.778992
8.82		0.188459		-0.798243
8.83		0.180292		-0.816712
8.84		0.171948		-0.834381
8.85		0.163436		-0.851232
8.86		0.154763		-0.867248
8.87		0.145939		-0.882415
8.88		0.136972		-0.896717
8.89		0.127871		-0.910141
8.9		0.118644		-0.922672
8.91		0.109301		-0.934299
8.92		0.0998509		-0.94501
8.93		0.0903029		-0.954796
8.94		0.0806664		-0.963646
8.95		0.0709509		-0.971551
8.96		0.0611659		-0.978504
8.97		0.0513209		-0.984498
8.98		0.0414256		-0.989528
8.99		0.0314898		-0.993587
9		0.021523		-0.996673
9.01		0.0115352		-0.998783
9.02		0.00153607		-0.999913
9.03		-0.00846457		-1.00006
9.04		-0.0184569		-0.999234
9.05		-0.0284312		-0.997425
9.06		-0.0383776		-0.994639
9.07		-0.0482863		-0.990878
9.08		-0.0581478		-0.986146
9.09		-0.0679523		-0.980448
9.1		-0.0776902		-0.973788
9.11		-0.0873519		-0.966175
9.12		-0.096928		-0.957614
9.13		-0.106409		-0.948115
9.14		-0.115786		-0.937687
9.15		-0.125049		-0.92634
9.16		-0.13419		-0.914085
